"ID","Data"
"1","0,096154"
"2","0,096154"
"3","0,096154"
"4","0,096154"
"5","0,096154"
"6","0,096154"
"7","0,096154"
"8","0,096154"
"9","0,096154"
"10","0,096154"
"11","0,144231"
"12","0,192308"
"13","0,240385"
"14","0,288462"
"15","0,336538"
"16","0,384615"
"17","0,432692"
"18","0,480769"
"19","0,528846"
"20","0,576923"
"21","0,625"
"22","0,673077"
"23","0,721154"
"24","0,769231"
"25","0,817308"
"26","0,865385"
"27","0,913462"
"28","0,961538"
"29","1,009615"
"30","1,057692"
"31","1,105769"
"32","1,153846"
"33","1,201923"
"34","1,25"
"35","1,298077"
"36","1,346154"
"37","1,394231"
"38","1,442308"
"39","1,490385"
"40","1,538462"
"41","1,586538"
"42","1,634615"
"43","1,682692"
"44","1,730769"
"45","1,778846"
"46","1,826923"
"47","1,875"
"48","1,923077"
"49","1,971154"
"50","2,019231"
"51","2,067308"
"52","2,115385"
"53","2,163461"
"54","2,211539"
"55","2,259615"
"56","2,307692"
"57","2,355769"
"58","2,403846"
"59","2,451923"
"60","2,5"
"61","2,594937"
"62","2,697368"
"63","2,808219"
"64","2,928571"
"65","3,059702"
"66","3,203125"
"67","3,360656"
"68","3,534483"
"69","3,727273"
"70","3,942308"
"71","4,241735"
"72","4,563906"
"73","4,910545"
"74","5,283514"
"75","5,684809"
"76","6,116584"
"77","6,581153"
"78","7,081008"
"79","7,618829"
"80","8,197496"
"81","8,197496"
"82","8,197496"
"83","8,197496"
"84","8,197496"
"85","8,197496"
"86","8,197496"
"87","8,197496"
"88","8,197496"
"89","8,197496"
"90","8,197496"
"91","8,197496"
"92","8,197496"
"93","8,197496"
"94","8,197496"
"95","8,197496"
"96","8,197496"
"97","8,197496"
"98","8,197496"
"99","8,197496"
"100","8,197496"
"101","8,197496"
"102","8,197496"
"103","8,197496"
"104","8,197496"
"105","8,197496"
"106","8,197496"
"107","8,197496"
"108","8,197496"
"109","8,197496"
"110","8,197496"
"111","8,197496"
"112","8,197496"
"113","8,197496"
"114","8,197496"
"115","8,197496"
"116","8,197496"
"117","8,197496"
"118","8,197496"
"119","8,197496"
"120","8,197496"
"121","8,197496"
"122","8,197496"
"123","8,197496"
"124","8,197496"
"125","8,197496"
"126","8,197496"
"127","8,197496"
"128","8,197496"
"129","8,197496"
"130","8,197496"
"131","8,197496"
"132","8,197496"
"133","8,197496"
"134","8,197496"
"135","8,197496"
"136","8,197496"
"137","8,197496"
"138","8,197496"
"139","8,197496"
"140","8,197496"
"141","8,197496"
"142","8,197496"
"143","8,197496"
"144","8,197496"
"145","8,197496"
"146","8,197496"
"147","8,197496"
"148","8,197496"
"149","8,197496"
"150","8,197496"
"151","8,197496"
"152","8,197496"
"153","8,197496"
"154","8,197496"
"155","8,197496"
"156","8,197496"
"157","8,197496"
"158","8,197496"
"159","8,197496"
"160","8,197496"
"161","8,197496"
"162","8,197496"
"163","8,197496"
"164","8,197496"
"165","8,197496"
"166","8,197496"
"167","8,197496"
"168","8,197496"
"169","8,197496"
"170","8,197496"
"171","8,197496"
"172","8,197496"
"173","8,197496"
"174","8,197496"
"175","8,197496"
"176","8,197496"
"177","8,197496"
"178","8,197496"
"179","8,197496"
"180","8,197496"
"181","8,197496"
"182","8,197496"
"183","8,197496"
"184","8,197496"
"185","8,197496"
"186","8,197496"
"187","8,197496"
"188","8,197496"
"189","8,197496"
"190","8,197496"
"191","8,197496"
"192","8,197496"
"193","8,197496"
"194","8,197496"
"195","8,197496"
"196","8,197496"
"197","8,197496"
"198","8,197496"
"199","8,197496"
"200","8,197496"
"201","8,197496"
"202","8,197496"
"203","8,197496"
"204","8,197496"
"205","8,197496"
"206","8,197496"
"207","8,197496"
"208","8,197496"
"209","8,197496"
"210","8,197496"
"211","8,197496"
"212","8,197496"
"213","8,197496"
"214","8,197496"
"215","8,197496"
"216","8,197496"
"217","8,197496"
"218","8,197496"
"219","8,197496"
"220","8,197496"
"221","8,197496"
"222","8,197496"
"223","8,197496"
"224","8,197496"
"225","8,197496"
"226","8,197496"
"227","8,197496"
"228","8,197496"
"229","8,197496"
"230","8,197496"
"231","8,197496"
"232","8,197496"
"233","8,197496"
"234","8,197496"
"235","8,197496"
"236","8,197496"
"237","8,197496"
"238","8,197496"
"239","8,197496"
"240","8,197496"
"241","8,197496"
"242","8,197496"
"243","8,197496"
"244","8,197496"
"245","8,197496"
"246","8,197496"
"247","8,197496"
"248","8,197496"
"249","8,197496"
"250","8,197496"
"251","8,197496"
"252","8,197496"
"253","8,197496"
"254","8,197496"
"255","8,197496"
"256","0,75"
"257","0,75"
"258","0,75"
"259","0,75"
"260","0,75"
"261","0,75"
"262","0,75"
"263","0,75"
"264","0,75"
"265","0,75"
"266","0,75"
"267","0,75"
"268","0,75"
"269","0,75"
"270","0,75"
"271","0,75"
"272","0,75"
"273","0,75"
"274","0,75"
"275","0,75"
"276","0,75"
"277","0,75"
"278","0,75"
"279","0,75"
"280","0,75"
"281","0,75"
"282","0,75"
"283","0,75"
"284","0,75"
"285","0,75"
"286","0,75"
"287","0,75"
"288","0,75"
"289","0,75"
"290","0,778846"
"291","0,807692"
"292","0,836538"
"293","0,865385"
"294","0,894231"
"295","0,923077"
"296","0,951923"
"297","0,980769"
"298","1,009615"
"299","1,038462"
"300","1,067308"
"301","1,096154"
"302","1,125"
"303","1,153846"
"304","1,182692"
"305","1,211538"
"306","1,240385"
"307","1,269231"
"308","1,298077"
"309","1,326923"
"310","1,355769"
"311","1,384615"
"312","1,413461"
"313","1,442308"
"314","1,471154"
"315","1,5"
