"ID","Data"
"1","0,193"
"2","0,216"
"3","0,264"
"4","0,31"
"5","0,31"
"6","0,395"
"7","0,436"
"8","0,475"
"9","0,514"
"10","0,552"
"11","0,588"
"12","0,625"
"13","0,661"
"14","0,696"
"15","0,766"
"16","0,8"
"17","0,835"
"18","0,885"
"19","0,919"
"20","1"
"21","1,034"
"22","1,067"
"23","1,101"
"24","1,165"
"25","1,229"
"26","1,278"
"27","1,328"
"28","1,405"
"29","1,522"
"30","1,612"
"31","1,662"
"32","1,752"
"33","1,805"
"34","1,858"
"35","1,964"
"36","2,032"
"37","2,126"
"38","2,196"
"39","2,292"
"40","2,351"
"41","2,446"
"42","2,506"
"43","2,626"
"44","2,686"
"45","2,782"
"46","2,854"
"47","2,95"
"48","3,012"
"49","3,074"
"50","3,195"
"51","3,269"
"52","3,378"
"53","3,475"
"54","3,583"
"55","3,658"
"56","3,788"
"57","3,863"
"58","3,972"
"59","4,048"
"60","4,167"
"61","4,266"
"62","4,4"
"63","4,514"
"64","4,662"
"65","4,768"
"66","4,908"
"67","5,016"
"68","5,169"
"69","5,292"
"70","5,437"
"71","5,593"
"72","5,709"
"73","5,858"
"74","5,998"
"75","6,15"
"76","6,282"
"77","6,415"
"78","6,594"
"79","6,762"
"80","6,899"
"81","7,082"
"82","7,222"
"83","7,376"
"84","7,552"
"85","7,697"
"86","7,876"
"87","8,024"
"88","8,196"
"89","8,347"
"90","8,533"
"91","8,741"
"92","8,898"
"93","9,055"
"94","9,215"
"95","9,408"
"96","9,572"
"97","9,736"
"98","9,902"
"99","10,091"
"100","10,293"
"101","10,4627"
"102","10,6324"
"103","10,8021"
"104","10,9718"
"105","11,1415"
"106","11,3112"
"107","11,4809"
"108","11,6506"
"109","11,8203"
"110","11,99"
"111","12,1597"
"112","12,3294"
"113","12,4991"
"114","12,6688"
"115","12,8385"
"116","13,0082"
"117","13,1779"
"118","13,3476"
"119","13,5173"
"120","13,687"
"121","13,8567"
"122","14,0264"
"123","14,1961"
"124","14,3658"
"125","14,5355"
"126","14,7052"
"127","14,8749"
"128","15,0446"
"129","15,2143"
"130","15,384"
"131","15,5537"
"132","15,7234"
"133","15,8931"
"134","16,0628"
"135","16,2325"
"136","16,4022"
"137","16,5719"
"138","16,7416"
"139","16,9113"
"140","17,081"
"141","17,2507"
"142","17,4204"
"143","17,5901"
"144","17,7598"
"145","17,9295"
"146","18,0992"
"147","18,2689"
"148","18,4386"
"149","18,6083"
"150","18,778"
"151","18,9477"
"152","19,1174"
"153","19,2871"
"154","19,4568"
"155","19,6265"
"156","19,7962"
"157","19,9659"
"158","20,1356"
"159","20,3053"
"160","20,475"
"161","20,6447"
"162","20,8144"
"163","20,9841"
"164","21,1538"
"165","21,3235"
"166","21,4932"
"167","21,6629"
"168","21,8326"
"169","22,0023"
"170","22,172"
"171","22,3417"
"172","22,5114"
"173","22,6811"
"174","22,8508"
"175","23,0205"
"176","23,1902"
"177","23,3599"
"178","23,5296"
"179","23,6993"
"180","23,869"
"181","24,0387"
"182","24,2084"
"183","24,3781"
"184","24,5478"
"185","24,7175"
"186","24,8872"
"187","25,0569"
"188","25,2266"
"189","25,3963"
"190","25,566"
"191","25,7357"
"192","25,9054"
"193","26,0751"
"194","26,2448"
"195","26,4145"
"196","26,5842"
"197","26,7539"
"198","26,9236"
"199","27,0933"
"200","27,263"
"201","27,4327"
"202","27,6024"
"203","27,7721"
"204","27,9418"
"205","28,1115"
"206","28,2812"
"207","28,4509"
"208","28,6206"
"209","28,7903"
"210","28,96"
"211","29,1297"
"212","29,2994"
"213","29,4691"
"214","29,6388"
"215","29,8085"
"216","29,9782"
"217","30,1479"
"218","30,3176"
"219","30,4873"
"220","30,657"
"221","30,8267"
"222","30,9964"
"223","31,1661"
"224","31,3358"
"225","31,5055"
"226","31,6752"
"227","31,8449"
"228","32,0146"
"229","32,1843"
"230","32,354"
"231","32,5237"
"232","32,6934"
"233","32,8631"
"234","33,0328"
"235","33,2025"
"236","33,3722"
"237","33,5419"
"238","33,7116"
"239","33,8813"
"240","34,051"
"241","34,2207"
"242","34,3904"
"243","34,5601"
"244","34,7298"
"245","34,8995"
"246","35,0692"
"247","35,2389"
"248","35,4086"
"249","35,5783"
"250","35,748"
"251","35,9177"
"252","36,0874"
"253","36,2571"
"254","36,4268"
"255","36,5965"
