"ID","ContinentID","X","Y","Z","Radius","Box_Length","Box_Width","Box_Height","Box_Yaw"
"45","0","2924.3798828125","-798.4290161132812","161.61099243164062","8","0","0","0","0"
"71","0","-10645.900390625","1179.06005859375","48.1781005859375","27","0","0","0","0"
"78","0","-11208.5","1685.3399658203125","25.761199951171875","7","0","0","0","0"
"84","0","16449.900390625","16393.19921875","69.44439697265625","15","0","0","0","0"
"87","0","-9077.33984375","-552.9249877929688","60.347599029541016","30","0","0","0","0"
"88","0","-9843.5400390625","127.5250015258789","5.369800090789795","10","0","0","0","0"
"97","0","-5660.330078125","755.2990112304688","389.6050109863281","15","0","0","0","0"
"98","0","-11634.7998046875","-54.069698333740234","13.443900108337402","30","0","0","0","0"
"100","0","2019.349365234375","1904.359375","105.14444732666016","7","0","0","0","0"
"101","0","-8761.849609375","848.5570068359375","87.8051986694336","0","4.9720001220703125","9.694000244140625","7.443999767303467","0.6632000207901001"
"107","0","-8667.5595703125","623.56298828125","85.40540313720703","7","0","0","0","0"
"145","0","-229.49000549316406","1576.3499755859375","78.89089965820312","7","0","0","0","0"
"168","0","-5584.20654296875","759.8321533203125","384.2901611328125","15","0","0","0","0"
"169","0","-5586.4599609375","679.2979736328125","384.9549865722656","8","0","0","0","0"
"171","0","-5763.72021484375","-3439.580078125","306.3659973144531","50","0","0","0","0"
"173","0","1058.1099853515625","1554.6800537109375","-15","90","0","0","0","0"
"175","0","-4086.360107421875","-2610.949951171875","46.01430130004883","20","0","0","0","0"
"178","0","683.77099609375","-912.1439819335938","174.5","5","0","0","0","0"
"196","0","-12153.62109375","894.0137329101562","9.538912773132324","80","0","0","0","0"
"197","0","-9796.1796875","157.7729949951172","25.387800216674805","9","0","0","0","0"
"284","0","-8681.3701171875","434.406005859375","99.25789642333984","7","0","0","0","0"
"286","0","-6053.72998046875","-2954.6298828125","213.68600463867188","10","0","0","0","0"
"324","0","-5161.330078125","939.6229858398438","258.2879943847656","10","0","0","0","0"
"342","0","-9029.173828125","-608.328857421875","56.467899322509766","30","0","0","0","0"
"362","0","-10429.4345703125","-3828.8408203125","-31.62964630126953","150","0","0","0","0"
"382","0","-8681.400390625","434.4389953613281","99.25900268554688","7","0","0","0","0"
"446","0","-10162.7001953125","-3998.64990234375","-107.97799682617188","11","0","0","0","0"
"482","0","-8932.7802734375","-1986.4000244140625","139.90499877929688","12","0","0","0","0"
"523","0","-4858.27001953125","785.030029296875","241.05999755859375","12","0","0","0","0"
"562","0","-9465.580078125","16.847200393676758","65.9209976196289","30","0","0","0","0"
"610","0","2925.179931640625","-820.5449829101562","161.63400268554688","8","0","0","0","0"
"612","0","2877.97998046875","-839.2670288085938","163.0489959716797","6","0","0","0","0"
"614","0","2859.72998046875","-824.9099731445312","162.08299255371094","8","0","0","0","0"
"682","0","-9219.3701171875","-2149.93994140625","70.60600280761719","30","0","0","0","0"
"702","0","-9023.259765625","892.3980102539062","33.50960159301758","7","0","0","0","0"
"704","0","-9020.08984375","880.5020141601562","151.5760040283203","7","0","0","0","0"
"707","0","-10517","-1158.3900146484375","39.05419921875","30","0","0","0","0"
"708","0","-854.5469970703125","-576.3140258789062","18.465900421142578","0","56.189998626708984","27.530000686645508","28.530000686645508","4.711999893188477"
"710","0","-5601.4599609375","-530.7470092773438","395.4830017089844","35","0","0","0","0"
"712","0","-5390.18017578125","-2953.929931640625","322.0299987792969","36","0","0","0","0"
"713","0","-3823.06005859375","-834.5260009765625","18.278900146484375","30","0","0","0","0"
"719","0","2266.679931640625","245.9929962158203","44.41450119018555","30","0","0","0","0"
"720","0","511.5360107421875","1638.6300048828125","75.41729736328125","50","0","0","0","0"
"721","0","-4.944439888000488","-934.9099731445312","62.46860122680664","0","24.559999465942383","25.719999313354492","11.579999923706055","5.828999996185303"
"802","0","-3752.81005859375","-851.5579833984375","10.115300178527832","20","0","0","0","0"
"803","0","-3668.340087890625","-823.8389892578125","9.899149894714355","12","0","0","0","0"
"844","0","-10487.2998046875","-3256.8701171875","39.896400451660156","30","0","0","0","0"
"862","0","-14457","496.45001220703125","39.139198303222656","28","0","0","0","0"
"902","0","-6606.47998046875","-3762.18994140625","266.9100036621094","12","0","0","0","0"
"1042","0","357.2200012207031","-2106.090087890625","121.83899688720703","60","0","0","0","0"
"1103","0","-14468","457.51300048828125","15.982199668884277","2","0","0","0","0"
"1104","0","-5096.759765625","750.2050170898438","260.54998779296875","2","0","0","0","0"
"1125","0","-8561.5400390625","823.3829956054688","106.51899719238281","3","0","0","0","0"
"1205","0","-295.6390075683594","-3460.679931640625","193.88400268554688","14","0","0","0","0"
"1426","0","-11204.5","-2730.610107421875","14.897199630737305","2","0","0","0","0"
"1427","0","-11079.7001953125","-2855.639892578125","10.691100120544434","2","0","0","0","0"
"1428","0","-11208.099609375","-2960.47998046875","9.214489936828613","2","0","0","0","0"
"1429","0","-11337.400390625","-2848.929931640625","9.344039916992188","2","0","0","0","0"
"1446","0","-11185.099609375","-2834.6298828125","116.4739990234375","2","0","0","0","0"
"1466","0","-7176.6298828125","-937.6669921875","170.20599365234375","13","0","0","0","0"
"1468","0","-7518.18994140625","-1239.1300048828125","287.2430114746094","10","0","0","0","0"
"1506","0","-7921.14013671875","-2604.179931640625","223.3459930419922","8","0","0","0","0"
"1606","0","-6657.35009765625","-2157.10009765625","264.13299560546875","30","0","0","0","0"
"1646","0","-907.864990234375","-3534.239990234375","83.78780364990234","30","0","0","0","0"
"2146","0","16299.2001953125","16277.2998046875","73.97229766845703","0","41.279998779296875","4.666999816894531","9.305999755859375","0"
"2173","0","-8346.4599609375","514.031005859375","96.5988998413086","10","0","0","0","0"
"2175","0","-4840.259765625","-1330.4599609375","508.1719970703125","10","0","0","0","0"
"2214","0","3237.4599609375","-4060.60009765625","112.01000213623047","0","10","10","10","0"
"2216","0","3392.4599609375","-3396.77001953125","143.072998046875","0","22.829999923706055","8.083000183105469","34.689998626708984","0"
"2217","0","3392.56005859375","-3361.780029296875","142.802001953125","0","27.940000534057617","7.083000183105469","35.189998626708984","0"
"2246","0","1757.260009765625","-1165.9300537109375","59.602500915527344","20","0","0","0","0"
"2248","0","1855.1300048828125","-1569.219970703125","59.182498931884766","20","0.33329999446868896","0.33329999446868896","0.33329999446868896","0"
"2250","0","1462.1300048828125","-1864.02001953125","58.70280075073242","20","0.33329999446868896","0.33329999446868896","0.33329999446868896","0"
"2252","0","1668.1199951171875","-2282.56005859375","59.22209930419922","20","0","0","0","0"
"2387","0","-9897.2099609375","-3725.090087890625","24.66710090637207","15","0","0","0","0"
"2412","0","97.43199920654297","-176.2740020751953","127.86599731445312","0","10.5600004196167","16.5","22.170000076293945","5.252999782562256"
"2413","0","544.8300170898438","-1079.949951171875","109.49400329589844","0","12.170000076293945","19.059999465942383","12.0600004196167","3.822000026702881"
"2567","0","1282.050048828125","-2548.72998046875","85.39939880371094","0","10.5600004196167","13.029999732971191","21.670000076293945","0.47119998931884766"
"2626","0","1756.7900390625","-1200.1500244140625","60.735198974609375","20","0","0","0","0"
"2627","0","1723.3199462890625","-1198.3800048828125","60.00960159301758","20","0","0","0","0"
"2628","0","1723.0999755859375","-1166.7099609375","59.57749938964844","20","0","0","0","0"
