"ID","RaceID","ClassID","SexID","OutfitID","ItemID_1","ItemID_2","ItemID_3","ItemID_4","ItemID_5","ItemID_6","ItemID_7","ItemID_8","ItemID_9","ItemID_10","ItemID_11","ItemID_12","ItemID_13","ItemID_14","ItemID_15","ItemID_16","ItemID_17","ItemID_18","ItemID_19","ItemID_20","ItemID_21","ItemID_22","ItemID_23","ItemID_24","DisplayItemID_1","DisplayItemID_2","DisplayItemID_3","DisplayItemID_4","DisplayItemID_5","DisplayItemID_6","DisplayItemID_7","DisplayItemID_8","DisplayItemID_9","DisplayItemID_10","DisplayItemID_11","DisplayItemID_12","DisplayItemID_13","DisplayItemID_14","DisplayItemID_15","DisplayItemID_16","DisplayItemID_17","DisplayItemID_18","DisplayItemID_19","DisplayItemID_20","DisplayItemID_21","DisplayItemID_22","DisplayItemID_23","DisplayItemID_24","InventoryType_1","InventoryType_2","InventoryType_3","InventoryType_4","InventoryType_5","InventoryType_6","InventoryType_7","InventoryType_8","InventoryType_9","InventoryType_10","InventoryType_11","InventoryType_12","InventoryType_13","InventoryType_14","InventoryType_15","InventoryType_16","InventoryType_17","InventoryType_18","InventoryType_19","InventoryType_20","InventoryType_21","InventoryType_22","InventoryType_23","InventoryType_24"
"1","12","1","0","0","49567","49576","49579","23346","6948","-1","49578","49577","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","62558","68130","68131","2380","6418","-1","68128","68129","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","7","8","17","-1","-1","5","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"2","12","1","1","0","49567","49576","49579","23346","6948","-1","49578","49577","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","62558","68130","68131","2380","6418","-1","68128","68129","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","7","8","17","-1","-1","5","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"3","12","2","0","0","45","43","44","6948","2361","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3265","9938","9937","6418","8690","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","8","7","0","17","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"4","12","2","1","0","45","43","44","6948","2361","-1","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3265","9938","9937","6418","8690","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","8","7","0","17","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"5","12","4","0","0","49572","49567","49575","28979","37","50055","49574","6948","49573","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","65849","62558","65847","40187","8483","2704","65850","6418","69175","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","4","8","25","21","22","5","-1","10","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"6","12","4","1","0","49572","49567","49575","28979","37","50055","49574","6948","49573","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","65849","62558","65847","40187","8483","2704","65850","6418","69175","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","7","4","8","25","21","22","5","-1","10","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"7","12","5","0","0","49403","49404","-1","49406","35","-1","-1","-1","6948","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","62557","62559","-1","62568","472","-1","-1","-1","6418","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","7","-1","8","17","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"8","12","5","1","0","49403","49404","-1","49406","35","-1","-1","-1","6948","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","62557","62559","-1","62568","472","-1","-1","-1","6418","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","20","7","-1","8","17","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"9","12","6","0","0","34652","34655","34659","34650","0","34653","34649","34651","34656","34648","34657","34658","38145","38145","38145","38145","38147","-1","41751","40582","-1","-1","-1","-1","51495","51501","49738","51494","-1","51500","51498","51497","51499","51496","6539","963","1282","1282","1282","1282","963","-1","36728","6418","-1","-1","-1","-1","1","3","16","5","-1","9","10","6","7","8","2","11","18","18","18","18","11","-1","0","0","-1","-1","-1","-1"
"10","12","6","1","0","34652","34655","34659","34650","0","34653","34649","34651","34656","34648","34657","34658","38145","38145","38145","38145","38147","-1","41751","40582","-1","-1","-1","-1","51495","51501","49738","51494","-1","51500","51498","51497","51499","51496","6539","963","1282","1282","1282","1282","963","-1","36728","6418","-1","-1","-1","-1","1","3","16","5","-1","9","10","6","7","8","2","11","18","18","18","18","11","-1","0","0","-1","-1","-1","-1"
